transaction_id,date,user_id,type,category,subcategory,amount_inr,payment_method,merchant,is_recurring,is_essential,note
045ef594-d81d-4f21-a4d6-1151ed71260d,2025-09-06,6f168c2c-529c-4ec8-9932-90d1b493cf87,EXPENSE,Food,Groceries,765,UPI,Grocery store,false,true,
0ab25f30-4900-4ce5-a691-00672c92a276,2025-09-07,6f168c2c-529c-4ec8-9932-90d1b493cf87,EXPENSE,Utilities,Internet,899,Card,Internet provider,true,true,
eea1ad3f-bf21-42ed-a510-d0220518d902,2025-09-07,6f168c2c-529c-4ec8-9932-90d1b493cf87,EXPENSE,Dining,Restaurant or delivery,858,UPI,Food outlet,false,false,
54cc301a-70fd-4f3b-a979-65ba192cda51,2025-09-08,6f168c2c-529c-4ec8-9932-90d1b493cf87,EXPENSE,Subscriptions,Digital services,799,Card,Subscription services,true,false,
9b66130d-2c7c-45ee-a62b-24fdca0a32bf,2025-09-08,6f168c2c-529c-4ec8-9932-90d1b493cf87,EXPENSE,Food,Groceries,719,Card,Grocery store,false,true,
54b32b25-43de-4611-acae-06cd2fbf1a7f,2025-09-08,6f168c2c-529c-4ec8-9932-90d1b493cf87,EXPENSE,Transport,Commute,398,UPI,Local transport,false,true,
05320dd8-88b1-4a6f-ade8-cbf6e50cf395,2025-09-09,6f168c2c-529c-4ec8-9932-90d1b493cf87,EXPENSE,Education,Course or materials,1776,UPI,Education provider,false,true,
33a82344-7396-4f25-a1d5-30f947817419,2025-09-10,6f168c2c-529c-4ec8-9932-90d1b493cf87,EXPENSE,Debt,Loan payment,8000,Bank transfer,Loan account,true,true,
1684297a-e612-416c-a9f3-e86ebc48de53,2025-09-11,6f168c2c-529c-4ec8-9932-90d1b493cf87,EXPENSE,Transport,Commute,102,Cash,Local transport,false,true,
580cdc26-53fc-4987-a961-bb39292d5a80,2025-09-12,6f168c2c-529c-4ec8-9932-90d1b493cf87,EXPENSE,Dining,Restaurant or delivery,515,UPI,Food outlet,false,false,
fab2f5a3-89ed-40fd-a549-35fcd8fa098c,2025-09-13,6f168c2c-529c-4ec8-9932-90d1b493cf87,EXPENSE,Food,Groceries,581,UPI,Grocery store,false,true,
5d6bf33e-51a1-47f1-a6bc-2c66badb446e,2025-09-13,6f168c2c-529c-4ec8-9932-90d1b493cf87,EXPENSE,Dining,Restaurant or delivery,1238,UPI,Food outlet,false,false,
8ed5b22e-01e6-42d7-ad99-6f0b92e42d5e,2025-09-14,6f168c2c-529c-4ec8-9932-90d1b493cf87,EXPENSE,Food,Groceries,351,UPI,Grocery store,false,true,
aed44aa4-5aa6-4cf5-adbd-4e319a0dfd62,2025-09-14,6f168c2c-529c-4ec8-9932-90d1b493cf87,EXPENSE,Entertainment,Leisure,567,UPI,Entertainment venue,false,false,
eb6142a6-3cec-4523-afb6-84ae15198308,2025-09-15,6f168c2c-529c-4ec8-9932-90d1b493cf87,EXPENSE,Food,Groceries,673,Card,Grocery store,false,true,
6a68e94c-c8c7-4fdf-a8f6-6170cf0de325,2025-09-15,6f168c2c-529c-4ec8-9932-90d1b493cf87,EXPENSE,Transport,Commute,200,UPI,Local transport,false,true,
