activity_id,timestamp,user_id,action_type,endpoint,status_code,device,metadata
c1ffeee4-d0ee-482b-aa24-ac012710ea9d,2025-09-06,6f168c2c-529c-4ec8-9932-90d1b493cf87,FINANCIAL_LOG,/api/v1/financial,201,Mobile · Android,1 transactions represented
a51a8f2c-05aa-4cb0-a554-0dbd5c2fa002,2025-09-06,6f168c2c-529c-4ec8-9932-90d1b493cf87,HABIT_UPDATE,/api/v1/habits,200,Web · Windows,1/4 scheduled habits completed
12b4b911-2a04-4c80-a46b-0eac6397e3b8,2025-09-07,6f168c2c-529c-4ec8-9932-90d1b493cf87,USER_LOGIN,/api/v1/auth/login,200,Mobile · Android,Successful login
347ee759-0467-4183-ad32-fcb58eae2e38,2025-09-07,6f168c2c-529c-4ec8-9932-90d1b493cf87,FINANCIAL_LOG,/api/v1/financial,201,Web · Windows,2 transactions represented
85976b0e-eb17-4e28-a117-7863887fe2d9,2025-09-07,6f168c2c-529c-4ec8-9932-90d1b493cf87,STUDY_LOG,/api/v1/study,201,Web · Windows,2.2 study hours logged
fff3ebd6-e248-493c-ad3b-ab7ba1238be1,2025-09-07,6f168c2c-529c-4ec8-9932-90d1b493cf87,HABIT_UPDATE,/api/v1/habits,200,Web · Windows,3/5 scheduled habits completed
f053626b-334e-439e-aeb5-9a5d5283109c,2025-09-08,6f168c2c-529c-4ec8-9932-90d1b493cf87,USER_LOGIN,/api/v1/auth/login,200,Mobile · Android,Successful login
dd0bdb95-489b-401b-a8d0-bb7ccf55741d,2025-09-08,6f168c2c-529c-4ec8-9932-90d1b493cf87,FINANCIAL_LOG,/api/v1/financial,201,Web · Windows,3 transactions represented
4843420d-e38c-468f-a9b4-104fce0c6406,2025-09-08,6f168c2c-529c-4ec8-9932-90d1b493cf87,HABIT_UPDATE,/api/v1/habits,200,Web · Windows,2/4 scheduled habits completed
2f613d69-1217-4284-a1eb-9b65f89d40e0,2025-09-09,6f168c2c-529c-4ec8-9932-90d1b493cf87,USER_LOGIN,/api/v1/auth/login,200,Web · Windows,Successful login
